url,label,features
https://google.com,1,"[18, 0, 1, 2, 6, 1]"
https://facebook.com,1,"[20, 0, 1, 2, 8, 1]"
https://amazon.com,1,"[18, 0, 1, 2, 6, 1]"
https://microsoft.com,1,"[21, 0, 1, 2, 9, 1]"
https://apple.com,1,"[17, 0, 1, 2, 5, 1]"
https://g00gle.com,0,"[18, 0, 1, 2, 6, 1]"
https://faceb00k-login.com,0,"[26, 1, 1, 2, 14, 1]"
https://amaz0n-deals.com,0,"[24, 1, 1, 2, 12, 1]"
https://micr0soft-support.com,0,"[29, 1, 1, 2, 17, 1]"
https://app1e-security.com,0,"[26, 1, 1, 2, 14, 1]"
